Founded year of startups,Startup industry,Status,Funding of startups in this industry by status,Number of startups in this industry by status,Total number of founded startups,Percentage of startups by industry,Survive rate of startups in this industry by status,Total funding by industry
1990-1995, Biotechnology ,unknown,25523,4,185,0.021621622,0.846153846,612267
1990-1995, Biotechnology ,acquired,57215,8,547,0.014625229,0.846153846,612267
1990-1995, Biotechnology ,closed,12400,4,264,0.015151515,0.846153846,612267
1990-1995, Biotechnology ,operating,612267,88,737,0.119402985,0.846153846,612267
1990-1995, E-Commerce ,unknown,17489,2,204,0.009803922,0.842105263,79936
1990-1995, E-Commerce ,acquired,8714,1,204,0.004901961,0.842105263,79936
1990-1995, E-Commerce ,operating,79936,16,737,0.021709634,0.842105263,79936
1990-1995, Fashion ,unknown,2319,1,115,0.008695652,0.8,12760
1990-1995, Fashion ,operating,12760,4,432,0.009259259,0.8,12760
1990-1995, Mobile ,acquired,19268,3,255,0.011764706,0.846153846,168611
1990-1995, Mobile ,closed,11336,1,79,0.012658228,0.846153846,168611
1990-1995, Mobile ,operating,168611,22,737,0.029850746,0.846153846,168611
1990-1995, Real Estate ,operating,15278,2,288,0.006944444,1,15278
1990-1995, Social Media ,acquired,1972,1,79,0.012658228,0.5,7717
1990-1995, Social Media ,operating,7717,1,149,0.006711409,0.5,7717
1990-1995, Software ,unknown,5456,2,163,0.012269939,0.794326241,712234
1990-1995, Software ,acquired,193836,25,737,0.033921303,0.794326241,712234
1990-1995, Software ,closed,15814,2,194,0.010309278,0.794326241,712234
1990-1995, Software ,operating,712234,112,737,0.151967436,0.794326241,712234
1990-1995, Travel ,acquired,6827,1,115,0.008695652,0.666666667,8846
1990-1995, Travel ,operating,8846,2,353,0.005665722,0.666666667,8846
1996-2001, Biotechnology ,unknown,38731,6,2200,0.002727273,0.862155388,2304773
1996-2001, Biotechnology ,acquired,207766,30,3331,0.009006304,0.862155388,2304773
1996-2001, Biotechnology ,closed,128125,19,3331,0.005703993,0.862155388,2304773
1996-2001, Biotechnology ,operating,2304773,344,3331,0.103272291,0.862155388,2304773
1996-2001, E-Commerce ,unknown,24181,4,1447,0.00276434,0.756097561,300192
1996-2001, E-Commerce ,acquired,115652,15,3331,0.004503152,0.756097561,300192
1996-2001, E-Commerce ,closed,1803,1,854,0.00117096,0.756097561,300192
1996-2001, E-Commerce ,operating,300192,62,3331,0.018613029,0.756097561,300192
1996-2001, Fashion ,acquired,8727,1,732,0.00136612,0.909090909,69448
1996-2001, Fashion ,operating,69448,10,2271,0.004403347,0.909090909,69448
1996-2001, Mobile ,unknown,9367,2,622,0.003215434,0.658536585,514983
1996-2001, Mobile ,acquired,209963,34,3054,0.01113294,0.658536585,514983
1996-2001, Mobile ,closed,38989,6,2301,0.002607562,0.658536585,514983
1996-2001, Mobile ,operating,514983,81,3331,0.024317022,0.658536585,514983
1996-2001, Real Estate ,acquired,20379,3,1931,0.001553599,0.727272727,35499
1996-2001, Real Estate ,operating,35499,8,2254,0.003549246,0.727272727,35499
1996-2001, Social Media ,unknown,2,1,732,0.00136612,0.454545455,20741
1996-2001, Social Media ,acquired,23678,4,2578,0.00155159,0.454545455,20741
1996-2001, Social Media ,closed,12363,1,854,0.00117096,0.454545455,20741
1996-2001, Social Media ,operating,20741,5,1724,0.002900232,0.454545455,20741
1996-2001, Software ,unknown,51278,8,1855,0.004312668,0.695934959,2744869
1996-2001, Software ,acquired,1013040,147,3331,0.044130892,0.695934959,2744869
1996-2001, Software ,closed,213469,32,3054,0.010478062,0.695934959,2744869
1996-2001, Software ,operating,2744869,428,3331,0.128489943,0.695934959,2744869
1996-2001, Travel ,acquired,11958,2,685,0.002919708,0.8,45940
1996-2001, Travel ,operating,45940,8,2339,0.003420265,0.8,45940
2002-2007, Biotechnology ,unknown,103275,14,7459,0.001876927,0.880733945,5350433
2002-2007, Biotechnology ,acquired,485292,56,8220,0.006812652,0.880733945,5350433
2002-2007, Biotechnology ,closed,232424,34,8220,0.004136253,0.880733945,5350433
2002-2007, Biotechnology ,operating,5350433,768,8220,0.093430657,0.880733945,5350433
2002-2007, E-Commerce ,unknown,63058,8,6460,0.00123839,0.79638009,1015951
2002-2007, E-Commerce ,acquired,148535,19,7294,0.002604881,0.79638009,1015951
2002-2007, E-Commerce ,closed,112327,18,7459,0.002413192,0.79638009,1015951
2002-2007, E-Commerce ,operating,1015951,176,8220,0.021411192,0.79638009,1015951
2002-2007, Fashion ,unknown,2,1,926,0.001079914,0.95,171837
2002-2007, Fashion ,acquired,6307,1,1119,0.000893655,0.95,171837
2002-2007, Fashion ,operating,171837,38,8220,0.004622871,0.95,171837
2002-2007, Mobile ,unknown,21815,4,4154,0.000962927,0.695652174,1395140
2002-2007, Mobile ,acquired,394956,56,8220,0.006812652,0.695652174,1395140
2002-2007, Mobile ,closed,209248,38,8220,0.004622871,0.695652174,1395140
2002-2007, Mobile ,operating,1395140,224,8220,0.027250608,0.695652174,1395140
2002-2007, Real Estate ,unknown,2,1,1760,0.000568182,0.862745098,228452
2002-2007, Real Estate ,acquired,17103,4,4960,0.000806452,0.862745098,228452
2002-2007, Real Estate ,closed,12719,2,3035,0.000658979,0.862745098,228452
2002-2007, Real Estate ,operating,228452,44,8220,0.005352798,0.862745098,228452
2002-2007, Social Media ,acquired,123712,20,7459,0.002681325,0.674603175,556309
2002-2007, Social Media ,closed,107623,21,6533,0.00321445,0.674603175,556309
2002-2007, Social Media ,operating,556309,85,8220,0.010340633,0.674603175,556309
2002-2007, Software ,unknown,103109,14,7294,0.001919386,0.778234086,4724351
2002-2007, Software ,acquired,868042,132,8220,0.016058394,0.778234086,4724351
2002-2007, Software ,closed,445881,70,8220,0.008515815,0.778234086,4724351
2002-2007, Software ,operating,4724351,758,8220,0.092214112,0.778234086,4724351
2002-2007, Travel ,unknown,12602,3,3640,0.000824176,0.771929825,236381
2002-2007, Travel ,acquired,40147,6,3393,0.001768347,0.771929825,236381
2002-2007, Travel ,closed,12935,4,4034,0.000991572,0.771929825,236381
2002-2007, Travel ,operating,236381,44,8220,0.005352798,0.771929825,236381
2008-2013, Biotechnology ,unknown,78042,14,19797,0.000707178,0.95970696,5092254
2008-2013, Biotechnology ,acquired,77960,11,14900,0.000738255,0.95970696,5092254
2008-2013, Biotechnology ,closed,47161,8,11372,0.000703482,0.95970696,5092254
2008-2013, Biotechnology ,operating,5092254,786,19797,0.039702985,0.95970696,5092254
2008-2013, E-Commerce ,unknown,209835,37,19797,0.00186897,0.872655479,4938494
2008-2013, E-Commerce ,acquired,184701,40,19797,0.002020508,0.872655479,4938494
2008-2013, E-Commerce ,closed,285648,52,19797,0.002626661,0.872655479,4938494
2008-2013, E-Commerce ,operating,4938494,884,19797,0.04465323,0.872655479,4938494
2008-2013, Fashion ,acquired,19870,6,16046,0.000373925,0.926605505,933504
2008-2013, Fashion ,closed,33108,10,16046,0.000623208,0.926605505,933504
2008-2013, Fashion ,operating,933504,202,19797,0.010203566,0.926605505,933504
2008-2013, Mobile ,unknown,89479,23,19797,0.001161792,0.857575758,4887672
2008-2013, Mobile ,acquired,280069,58,19797,0.002929737,0.857575758,4887672
2008-2013, Mobile ,closed,308386,60,19797,0.003030762,0.857575758,4887672
2008-2013, Mobile ,operating,4887672,849,19797,0.042885286,0.857575758,4887672
2008-2013, Real Estate ,unknown,19135,4,12250,0.000326531,0.954314721,852220
2008-2013, Real Estate ,acquired,9018,1,4674,0.00021395,0.954314721,852220
2008-2013, Real Estate ,closed,21267,4,7547,0.000530012,0.954314721,852220
2008-2013, Real Estate ,operating,852220,188,19797,0.009496388,0.954314721,852220
2008-2013, Social Media ,unknown,86356,10,16195,0.000617475,0.838582677,2593031
2008-2013, Social Media ,acquired,147769,25,16046,0.001558021,0.838582677,2593031
2008-2013, Social Media ,closed,243617,47,19797,0.002374097,0.838582677,2593031
2008-2013, Social Media ,operating,2593031,426,19797,0.021518412,0.838582677,2593031
2008-2013, Software ,unknown,289539,45,19797,0.002273072,0.903225806,8584357
2008-2013, Software ,acquired,252066,48,16046,0.0029914,0.903225806,8584357
2008-2013, Software ,closed,371060,69,19797,0.003485377,0.903225806,8584357
2008-2013, Software ,operating,8584357,1512,19797,0.076375208,0.903225806,8584357
2008-2013, Travel ,unknown,32478,6,16924,0.000354526,0.85786802,856726
2008-2013, Travel ,acquired,29300,10,16046,0.000623208,0.85786802,856726
2008-2013, Travel ,closed,75163,12,16046,0.00074785,0.85786802,856726
2008-2013, Travel ,operating,856726,169,19797,0.008536647,0.85786802,856726
